Position,Classification_Code,Starting step,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Pharmacist Resident,6361,4,4776,5345,5964,569,1188,13280,57312,71568
Pharmacy Clerk & Technician 2,6388,4,3483,3865,4301,382,818,10091,41796,51612
Pharmacy Clerk & Technician 3,6389,4,3629,4036,4498,407,869,10451,43548,53976
Physical Therapist,6503,4,6982,7803,8713,821,1731,18721,83784,104556
Physical/Electronic Security Technician,4037,4,4155,4639,5169,484,1014,11748,49860,62028
Physical/Electronic Security Technician 3,4039,4,5019,5598,6245,579,1226,13879,60228,74940
Physician's Assistant,6357,4,7678,8581,9589,903,1911,20437,92136,115068
Planner 2,1097,4,5771,6444,7206,673,1435,15734,69252,86472
Plumber,4005,4,5019,5598,6245,579,1226,13879,60228,74940
Preadmissions Screening Specialist,6684,4,5019,5598,6245,579,1226,13879,60228,74940
Print Services Technician,3446,4,3483,3865,4301,382,818,10091,41796,51612
Printing Production Coordinator,3475,4,4776,5345,5964,569,1188,13280,57312,71568
Procurement & Contract Specialist 1,436,4,4776,5345,5964,569,1188,13280,57312,71568
Procurement & Contract Specialist 2,437,4,5771,6444,7206,673,1435,15734,69252,86472
Procurement & Contract Specialist 3,438,4,6350,7097,7923,747,1573,17162,76200,95076
Procurement And Contract Assistant,435,4,3964,4425,4943,461,979,11277,47568,59316
Program Analyst 1,860,4,4776,5345,5964,569,1188,13280,57312,71568
Program Analyst 2,861,4,5771,6444,7206,673,1435,15734,69252,86472
Program Analyst 3,863,4,6350,7097,7923,747,1573,17162,76200,95076
Program Analyst 4,863,4,6982,7803,8713,821,1731,18721,83784,104556
Project Manager 1,854,4,5771,6444,7206,673,1435,15734,69252,86472
Project Manager 2,855,4,6664,7436,8314,772,1650,17936,79968,99768
Project Manager 3,856,4,7327,8177,9143,850,1816,19571,87924,109716
Psychiatric Social Worker,6730,4,6350,7097,7923,747,1573,17162,76200,95076
Public Affairs Specialist 1,864,4,5256,5861,6549,605,1293,14464,63072,78588
Public Affairs Specialist 2,865,4,6350,7097,7923,747,1573,17162,76200,95076
Public Affairs Specialist 3,866,4,6982,7803,8713,821,1731,18721,83784,104556
Public Health Educator 1,3337,4,5019,5598,6245,579,1226,13879,60228,74940
Public Health Educator 2,3338,4,5503,6146,6866,643,1363,15073,66036,82392
Public Health Nurse 2,6339,4,7764,8658,9667,894,1903,20649,93168,116004
Public Health Toxicologist 1,3433,4,6350,7097,7923,747,1573,17162,76200,95076
Public Service Representative 2,333,4,3095,3427,3784,332,689,9134,37140,45408
Public Service Representative 3,333,4,3335,3709,4118,374,783,9726,40020,49416
Public Service Representative 4,334,4,4155,4639,5169,484,1014,11748,49860,62028
Radiologic Technologist,6348,4,5256,5861,6549,605,1293,14464,63072,78588
Rehabilitation Instructor For The Blind,3333,4,4776,5345,5964,569,1188,13280,57312,71568
Rehabilitation Instructor For The Blind (Entry),3333,4,4356,4851,5420,495,1064,12244,52272,65040
Rehabilitation Therapist,6531,4,5019,5598,6245,579,1226,13879,60228,74940
Research Analyst 1,1115,4,3964,4425,4943,461,979,11277,47568,59316
Research Analyst 2,1116,4,4776,5345,5964,569,1188,13280,57312,71568
Research Analyst 3,1117,4,5503,6146,6866,643,1363,15073,66036,82392
Research Analyst 4,1118,4,6664,7436,8314,772,1650,17936,79968,99768
Retirement Counselor 1,841,4,4155,4639,5169,484,1014,11748,49860,62028
Retirement Counselor 2,843,4,4555,5086,5695,531,1140,12735,54660,68340
Revenue Agent 1,5110,4,3629,4036,4498,407,869,10451,43548,53976
Revenue Agent 2,5111,4,3964,4425,4943,461,979,11277,47568,59316
Revenue Agent 3,5113,4,4356,4851,5420,495,1064,12244,52272,65040
Safety Specialist 1,1345,4,4776,5345,5964,569,1188,13280,57312,71568
Safety Specialist 2,1346,4,5771,6444,7206,673,1435,15734,69252,86472
Scientific Instrument Technician,4339,4,4356,4851,5420,495,1064,12244,52272,65040
Seamster,9301,4,3335,3709,4118,374,783,9726,40020,49416
Securities Examiner,5671,4,6664,7436,8314,772,1650,17936,79968,99768
Shipping Point Inspector 1,5450,4,3335,3709,4118,374,783,9726,40020,49416
Shipping Point Inspector 2,5451,4,3629,4036,4498,407,869,10451,43548,53976
Sign Technician 1,4131,4,3964,4425,4943,461,979,11277,47568,59316
Social Service Assistant,6609,4,3629,4036,4498,407,869,10451,43548,53976
Social Service Specialist 1,6613,4,5256,5861,6549,605,1293,14464,63072,78588
Social Services Specialist 2,6613,4,5771,6444,7206,673,1435,15734,69252,86472
State Library Specialist 1,351,4,3005,3296,3652,291,647,8912,36060,43824
State Library Specialist 2,353,4,3790,4222,4715,432,925,10848,45480,56580
State Procurement Analyst,770,4,6664,7436,8314,772,1650,17936,79968,99768
Student Office Worker,100,4,0,4301,4301,4301,4301,1500,0,51612
Supply Specialist 1,758,4,3218,3552,3952,334,734,9437,38616,47424
Supply Specialist 2,759,4,4155,4639,5169,484,1014,11748,49860,62028
Tax Auditor 1,5631,4,5256,5861,6549,605,1293,14464,63072,78588
Tax Auditor 2,5633,4,6051,6763,7562,712,1511,16424,72612,90744
Tax Auditor/Entry,5630,4,4155,4639,5169,484,1014,11748,49860,62028
Teaching Assistant,3303,4,3335,3709,4118,374,783,9726,40020,49416
Traffic Survey Interviewer,1105,4,0,,,,,1500,0,
Training & Development Specialist 1,1338,4,4776,5345,5964,569,1188,13280,57312,71568
Training & Development Specialist 2,1339,4,5771,6444,7206,673,1435,15734,69252,86472
Transportation Maintenance Coordinator 1,4161,4,4356,4851,5420,495,1064,12244,52272,65040
Transportation Maintenance Coordinator 2,4163,4,4555,5086,5695,531,1140,12735,54660,68340
Transportation Maintenance Specialist 1,4151,4,3629,4036,4498,407,869,10451,43548,53976
Transportation Maintenance Specialist 2,4153,4,3964,4425,4943,461,979,11277,47568,59316
Transportation Maintenance Specialist Entry,4150,4,0,,,,,1500,0,
Transportation Services Office Leader,333,4,4356,4851,5420,495,1064,12244,52272,65040
Transportation Services Representative 1,331,4,3629,4036,4498,407,869,10451,43548,53976
Transportation Services Representative 2,333,4,3964,4425,4943,461,979,11277,47568,59316
Transportation Telecommunications Specialist 1,4166,4,4155,4639,5169,484,1014,11748,49860,62028
Transportation Telecommunications Specialist 2,4167,4,4555,5086,5695,531,1140,12735,54660,68340
Transporter,4403,4,0,,,,,1500,0,
Transporting Mental Health Aide,6101,4,3629,4036,4498,407,869,10451,43548,53976
Truck Driver 1,4401,4,3629,4036,4498,407,869,10451,43548,53976
Truck Driver 2,4403,4,4155,4639,5169,484,1014,11748,49860,62028
Veterans Service Officer,799,4,4776,5345,5964,569,1188,13280,57312,71568
Veterans Trust Officer,784,4,4776,5345,5964,569,1188,13280,57312,71568
Video Producer,3176,4,6051,6763,7562,712,1511,16424,72612,90744
Vocational Rehabilitation Counselor,6647,4,5256,5861,6549,605,1293,14464,63072,78588
Vocational Rehabilitation Counselor Entry,6646,4,4155,4639,5169,484,1014,11748,49860,62028
Vocational Rehabilitation Specialist,6648,4,5503,6146,6866,643,1363,15073,66036,82392
Water Resource Data Technician 1,8510,4,3964,4425,4943,461,979,11277,47568,59316
Water Resource Data Technician 2,8511,4,4356,4851,5420,495,1064,12244,52272,65040
Wildland Fire Dispatcher,8364,4,3335,3709,4118,374,783,9726,40020,49416
Wildland Fire Dispatcher Entry,8363,4,0,,,,,1500,0,
Wildland Fire Suppression Specialist,8355,4,3629,4036,4498,407,869,10451,43548,53976
Wildland Fire Suppression Specialist Entry,8354,4,3095,3427,3784,332,689,9134,37140,45408
Word Processing Technician 2,531,4,3218,3552,3952,334,734,9437,38616,47424
Word Processing Technician 3,533,4,3483,3865,4301,382,818,10091,41796,51612
Youth Corrections Unit Coordinator,6755,4,4776,5345,5964,569,1188,13280,57312,71568
Accountant 1,1316,5,5019,5598,6245,579,1226,13879,60228,74940
Accountant 2,1317,5,6051,6763,7562,712,1511,16424,72612,90744
Accountant 3,1318,5,6982,7803,8713,821,1731,18721,83784,104556
Accounting Technician,313,5,4155,4639,5169,484,1014,11748,49860,62028
Activities Coordinator,6530,5,4155,4639,5169,484,1014,11748,49860,62028
Administrative Law Judge 1,1510,5,6982,7803,8713,821,1731,18721,83784,104556
Administrative Law Judge 2,1511,5,8057,8999,10065,942,2008,21372,96684,120780
Administrative Law Judge 3,1513,5,9751,10908,12187,1157,2436,25550,117012,146244
Administrative Specialist 1,107,5,3790,4222,4715,432,925,10848,45480,56580
Administrative Specialist 2,108,5,4356,4851,5420,495,1064,12244,52272,65040
Adult Protective Service Specialist,6616,5,5503,6146,6866,643,1363,15073,66036,82392
Aerial Photographer,3540,5,5256,5861,6549,605,1293,14464,63072,78588
Aircraft Pilot,8333,5,6051,6763,7562,712,1511,16424,72612,90744
Appraiser Analyst 1,735,5,3964,4425,4943,461,979,11277,47568,59316
Appraiser Analyst 2,736,5,5503,6146,6866,643,1363,15073,66036,82392
Appraiser Analyst 3,737,5,6350,7097,7923,747,1573,17162,76200,95076
Appraiser Analyst 4,738,5,7327,8177,9143,850,1816,19571,87924,109716
Apprenticeship Representative,4380,5,5019,5598,6245,579,1226,13879,60228,74940
Automotive Fleet Attendant,4417,5,3335,3709,4118,374,783,9726,40020,49416
Automotive Technician 1,4418,5,4155,4639,5169,484,1014,11748,49860,62028
Automotive Technician 2,4419,5,5019,5598,6245,579,1226,13879,60228,74940
Behavioral Health Specialist 1,6531,5,5256,5861,6549,605,1293,14464,63072,78588
Behavioral Health Specialist 2,6534,5,6051,6763,7562,712,1511,16424,72612,90744
Behavioral Health Specialist 3,6535,5,6664,7436,8314,772,1650,17936,79968,99768
Biological Science Assistant,3769,5,3095,3427,3784,332,689,9134,37140,45408
Business & Employment Specialist 2,6699,5,4555,5086,5695,531,1140,12735,54660,68340
Carpenter,4003,5,4776,5345,5964,569,1188,13280,57312,71568
Certified Occupation Therapist Assistant,6506,5,4356,4851,5420,495,1064,12244,52272,65040
Chaplain,6680,5,5256,5861,6549,605,1293,14464,63072,78588
Chemist 1,3715,5,5256,5861,6549,605,1293,14464,63072,78588
Chemist 2,3716,5,5771,6444,7206,673,1435,15734,69252,86472
Chemist 3,3717,5,6664,7436,8314,772,1650,17936,79968,99768
Child Nutrition Specialist,5950,5,6350,7097,7923,747,1573,17162,76200,95076
Child Support Case Manager,5139,5,4555,5086,5695,531,1140,12735,54660,68340
Child Support Case Manager Entry,5138,5,4155,4639,5169,484,1014,11748,49860,62028
Child Support Specialist,5133,5,5019,5598,6245,579,1226,13879,60228,74940
Civil Engineering Specialist 1,3136,5,5503,6146,6866,643,1363,15073,66036,82392
Civil Rights Investigator 1,5340,5,4555,5086,5695,531,1140,12735,54660,68340
Civil Rights Investigator 2,5341,5,5771,6444,7206,673,1435,15734,69252,86472
Claims Representative 1,5307,5,4776,5345,5964,569,1188,13280,57312,71568
Claims Representative 2,5308,5,5256,5861,6549,605,1293,14464,63072,78588
Client Care Surveyor,6685,5,6350,7097,7923,747,1573,17162,76200,95076
Clinical Laboratory Scientist,6833,5,5256,5861,6549,605,1293,14464,63072,78588
Clinical Psychologist 1,6394,5,8057,8999,10065,942,2008,21372,96684,120780
Clinical Psychologist 2,6395,5,8870,9897,11065,1027,2195,23377,106440,132780
Communicable Disease Analyst,5903,5,4776,5345,5964,569,1188,13280,57312,71568
Community Outreach Specialist,6614,5,5771,6444,7206,673,1435,15734,69252,86472
Compliance Specialist 1,5346,5,4555,5086,5695,531,1140,12735,54660,68340
Compliance Specialist 2,5347,5,5503,6146,6866,643,1363,15073,66036,82392
Compliance Specialist 3,5348,5,6664,7436,8314,772,1650,17936,79968,99768
Construction Inspector,3365,5,6051,6763,7562,712,1511,16424,72612,90744
Construction Project Manager 1,3367,5,6051,6763,7562,712,1511,16424,72612,90744
Construction Project Manager 2,3368,5,6982,7803,8713,821,1731,18721,83784,104556
Construction Project Manager 3,3369,5,8057,8999,10065,942,2008,21372,96684,120780
Cook,9117,5,3790,4222,4715,432,925,10848,45480,56580
Custodial Services Coordinator,4103,5,3218,3552,3952,334,734,9437,38616,47424
Custodian,4101,5,0,,,,,1500,0,
Data Entry Control Technician,1475,5,3095,3427,3784,332,689,9134,37140,45408
Data Entry Operator,501,5,3095,3427,3784,332,689,9134,37140,45408
Dental Assistant 2,6394,5,4356,4851,5420,495,1064,12244,52272,65040
Dental Hygienist,6396,5,6664,7436,8314,772,1650,17936,79968,99768
Dietitian 2,6371,5,5771,6444,7206,673,1435,15734,69252,86472
Disability Analyst 1,5936,5,5019,5598,6245,579,1226,13879,60228,74940
Disability Analyst 2,5937,5,5503,6146,6866,643,1363,15073,66036,82392
District Veterinarian,6440,5,6664,7436,8314,772,1650,17936,79968,99768
DOJ Claims Examiner,5933,5,4776,5345,5964,569,1188,13280,57312,71568
Dormitory Counselor 1,6767,5,3629,4036,4498,407,869,10451,43548,53976
Dormitory Counselor 2,6768,5,4356,4851,5420,495,1064,12244,52272,65040
Economist 1,1161,5,5019,5598,6245,579,1226,13879,60228,74940
Economist 2,1163,5,6051,6763,7562,712,1511,16424,72612,90744
Economist 3,1163,5,6982,7803,8713,821,1731,18721,83784,104556
Economist 4,1164,5,8057,8999,10065,942,2008,21372,96684,120780
Education Program Specialist 1,3300,5,6982,7803,8713,821,1731,18721,83784,104556
Education Program Specialist 2,3301,5,8057,8999,10065,942,2008,21372,96684,120780
Electrician 2,4008,5,5771,6444,7206,673,1435,15734,69252,86472
Electrician 3,4009,5,6350,7097,7923,747,1573,17162,76200,95076
Electronic Publishing Design Specialist 1,3510,5,3790,4222,4715,432,925,10848,45480,56580
Electronic Publishing Design Specialist 2,3511,5,4776,5345,5964,569,1188,13280,57312,71568
Electronic Publishing Design Specialist 3,3513,5,5256,5861,6549,605,1293,14464,63072,78588
Electronic Security Technician 2,4051,5,5771,6444,7206,673,1435,15734,69252,86472
Employment Adjudicator,6693,5,5019,5598,6245,579,1226,13879,60228,74940
Employment Appeals Board Legal Staff,1543,5,6664,7436,8314,772,1650,17936,79968,99768
Engineering Technician 2,3110,5,4155,4639,5169,484,1014,11748,49860,62028
Engineering Technician 3,3111,5,4555,5086,5695,531,1140,12735,54660,68340
Environmental Engineer 2,3411,5,6982,7803,8713,821,1731,18721,83784,104556
Environmental Engineer 3,3413,5,8057,8999,10065,942,2008,21372,96684,120780
Environmental Health Specialist 3,3819,5,6350,7097,7923,747,1573,17162,76200,95076
Epidemiologist 1,6316,5,6051,6763,7562,712,1511,16424,72612,90744
Epidemiologist 2,6317,5,6982,7803,8713,821,1731,18721,83784,104556
Epidemiologist 3,6318,5,7678,8581,9589,903,1911,20437,92136,115068
Equipment Operator,4433,5,4555,5086,5695,531,1140,12735,54660,68340
Executive Assistant,830,5,5503,6146,6866,643,1363,15073,66036,82392
Executive Support Specialist 1,118,5,3790,4222,4715,432,925,10848,45480,56580
Executive Support Specialist 2,119,5,4356,4851,5420,495,1064,12244,52272,65040
Facilities Engineer 1,3351,5,6051,6763,7562,712,1511,16424,72612,90744
Facilities Engineer 3,3353,5,8057,8999,10065,942,2008,21372,96684,120780
Facility Energy Technician 2,4033,5,4776,5345,5964,569,1188,13280,57312,71568
Facility Energy Technician 3,4034,5,5771,6444,7206,673,1435,15734,69252,86472
Facility Energy Technician 4,4035,5,6664,7436,8314,772,1650,17936,79968,99768
Facility Maintenance Specialist,4013,5,3964,4425,4943,461,979,11277,47568,59316
Facility Operations Specialist 1,4014,5,5256,5861,6549,605,1293,14464,63072,78588
Facility Operations Specialist 2,4015,5,5771,6444,7206,673,1435,15734,69252,86472
Financial Enforcement Officer,1547,5,7678,8581,9589,903,1911,20437,92136,115068
Financial Examiner 1,5675,5,5256,5861,6549,605,1293,14464,63072,78588
Financial Examiner 2,5676,5,6051,6763,7562,712,1511,16424,72612,90744
Financial Examiner 3,5677,5,6982,7803,8713,821,1731,18721,83784,104556
Financial Investigator 1,5335,5,5771,6444,7206,673,1435,15734,69252,86472
Fiscal Analyst 1,1343,5,5019,5598,6245,579,1226,13879,60228,74940
Fiscal Analyst 2,1344,5,6051,6763,7562,712,1511,16424,72612,90744
Fiscal Analyst 3,1345,5,6982,7803,8713,821,1731,18721,83784,104556
Fiscal Auditor 1,5641,5,5019,5598,6245,579,1226,13879,60228,74940
Fish and Wildlife Technical Coordinator,8346,5,4555,5086,5695,531,1140,12735,54660,68340
Fish and Wildlife Technician,8341,5,3790,4222,4715,432,925,10848,45480,56580
Fish and Wildlife Technician Entry,8340,5,3218,3552,3952,334,734,9437,38616,47424
Fish and Wildlife Technician Senior,8343,5,4155,4639,5169,484,1014,11748,49860,62028
Food Service Worker,9103,5,3218,3552,3952,334,734,9437,38616,47424
Forest Crew Coordinator,8318,5,4155,4639,5169,484,1014,11748,49860,62028
Forest Lookout,8353,5,3005,3427,3784,422,779,8912,36060,45408
Forest Management Technician,8311,5,3629,4036,4498,407,869,10451,43548,53976
Forest Officer,8357,5,5019,5598,6245,579,1226,13879,60228,74940
Geologist 2,3531,5,5771,6444,7206,673,1435,15734,69252,86472
Governmental Auditor 1,5646,5,5256,5861,6549,605,1293,14464,63072,78588
Governmental Auditor 2,5647,5,5771,6444,7206,673,1435,15734,69252,86472
Governmental Auditor 3,5648,5,6664,7436,8314,772,1650,17936,79968,99768
Grounds Maintenance Worker 1,4109,5,3335,3709,4118,374,783,9726,40020,49416
Grounds Maintenance Worker 2,4110,5,3790,4222,4715,432,925,10848,45480,56580
Group Life Coordinator 1,6750,5,3483,3865,4301,382,818,10091,41796,51612
Group Life Coordinator 2,6751,5,4155,4639,5169,484,1014,11748,49860,62028
Hairdresser,9300,5,3335,4036,4498,701,1163,9726,40020,53976
Health Care Investigator/Advisor,5911,5,5771,6444,7206,673,1435,15734,69252,86472
Health Information Specialist,15,5,3964,4425,4943,461,979,11277,47568,59316
Heavy Equipment Technician 1,4437,5,5193,5795,6469,602,1276,14308,62316,77628
Heavy Equipment Technician 2,4438,5,5771,6444,7206,673,1435,15734,69252,86472
Human Services Assistant 2,6606,5,3629,4036,4498,407,869,10451,43548,53976
Human Services Case Manager,6630,5,4555,5086,5695,531,1140,12735,54660,68340
Human Services Specialist 1,6657,5,3483,3865,4301,382,818,10091,41796,51612
Human Services Specialist 2,6658,5,3790,4222,4715,432,925,10848,45480,56580
Human Services Specialist 3,6659,5,4155,4639,5169,484,1014,11748,49860,62028
Human Services Specialist 4,6660,5,4776,5345,5964,569,1188,13280,57312,71568
Incident Response Operations Specialist,4165,5,4356,4851,5420,495,1064,12244,52272,65040
Industrial Hygienist 2,5706,5,6051,6763,7562,712,1511,16424,72612,90744
Industrial Hygienist 3,5707,5,6664,7436,8314,772,1650,17936,79968,99768
Industrial Hygienist 4,5708,5,7327,8177,9143,850,1816,19571,87924,109716
Information Systems Specialist 2,1483,5,4555,5086,5695,531,1140,12735,54660,68340
Information Systems Specialist 3,1483,5,5256,5861,6549,605,1293,14464,63072,78588
