Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Medical Laboratory Technician 2,6831,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Medical Review Coordinator,6310,5,Strikeable,8130,9073,10172,943,2042,21552,97560,122064
Mental Health Security Technician,6708,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Mental Health Therapist 1,6711,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Mental Health Therapist 2,6713,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Mental Health Therapy Coordinator,6718,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Mental Health Therapy Technician,6710,5,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Microbiologist 1,3779,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Microbiologist 2,3780,5,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Microbiologist 3,3781,5,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Motor Carrier Enforcement Officer 1,5857,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Motor Carrier Enforcement Officer 2,5858,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Natural Resource Specialist 1,8501,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Natural Resource Specialist 2,8503,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Natural Resource Specialist 3,8503,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Natural Resource Specialist 4,8504,5,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Natural Resource Specialist 5,8505,5,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Nutrition Consultant,5955,5,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Occupational Safety Specialist 1,5709,5,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Occupational Safety Specialist 2,5710,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Occupational Safety Specialist 3,5711,5,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Occupational Therapist,6508,5,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Office Assistant 1,101,5,Strikeable,0,,,,,1500,0,
Office Assistant 2,103,5,Strikeable,0,,,,,1500,0,
Office Coordinator,801,5,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Office Specialist 1,103,5,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Office Specialist 2,104,5,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Operations & Policy Analyst 1,870,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Operations & Policy Analyst 2,871,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Operations & Policy Analyst 3,873,5,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Operations & Policy Analyst 4,873,5,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Painter,4001,5,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Paralegal,1534,5,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Park Ranger 1,8434,5,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Park Ranger 2,8435,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Park Ranger 3,8436,5,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Park Ranger Assistant,8433,5,Strikeable,3095,3427,3784,332,689,9134,37140,45408
Park Specialist,8445,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Parking Services Representative,5550,5,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Parts Specialist 2,783,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Payroll Analyst,314,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Pharmacist,6360,5,Strikeable,10740,11999,13419,1259,2679,27989,128880,161028
Pharmacist 2,6363,5,Strikeable,11825,13215,14775,1390,2950,30665,141900,177300
Pharmacist Resident,6361,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Pharmacy Clerk & Technician 2,6388,5,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Pharmacy Clerk & Technician 3,6389,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Physical Therapist,6503,5,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Physical/Electronic Security Technician,4037,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Physical/Electronic Security Technician 3,4039,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Physician's Assistant,6357,5,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Planner 2,1097,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Plumber,4005,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Preadmissions Screening Specialist,6684,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Print Services Technician,3446,5,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Printing Production Coordinator,3475,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Procurement & Contract Specialist 1,436,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Procurement & Contract Specialist 2,437,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Procurement & Contract Specialist 3,438,5,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Procurement And Contract Assistant,435,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Program Analyst 1,860,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Program Analyst 2,861,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Program Analyst 3,863,5,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Program Analyst 4,863,5,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Project Manager 1,854,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Project Manager 2,855,5,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Project Manager 3,856,5,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Psychiatric Social Worker,6730,5,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Public Affairs Specialist 1,864,5,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Public Affairs Specialist 2,865,5,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Public Affairs Specialist 3,866,5,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Public Health Educator 1,3337,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Public Health Educator 2,3338,5,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Public Health Nurse 2,6339,5,Strikeable,8130,9073,10172,943,2042,21552,97560,122064
Public Health Toxicologist 1,3433,5,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Public Service Representative 2,333,5,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Public Service Representative 3,333,5,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Public Service Representative 4,334,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Radiologic Technologist,6348,5,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Rehabilitation Instructor For The Blind,3333,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Rehabilitation Instructor For The Blind (Entry),3333,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Rehabilitation Therapist,6531,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Research Analyst 1,1115,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Research Analyst 2,1116,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Research Analyst 3,1117,5,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Research Analyst 4,1118,5,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Retirement Counselor 1,841,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Retirement Counselor 2,843,5,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Revenue Agent 1,5110,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Revenue Agent 2,5111,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Revenue Agent 3,5113,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Safety Specialist 1,1345,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Safety Specialist 2,1346,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Scientific Instrument Technician,4339,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Seamster,9301,5,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Securities Examiner,5671,5,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Shipping Point Inspector 1,5450,5,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Shipping Point Inspector 2,5451,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Sign Technician 1,4131,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Social Service Assistant,6609,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Social Service Specialist 1,6613,5,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Social Services Specialist 2,6613,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
State Library Specialist 1,351,5,Strikeable,3095,3427,3784,332,689,9134,37140,45408
State Library Specialist 2,353,5,Strikeable,3964,4425,4943,461,979,11277,47568,59316
State Procurement Analyst,770,5,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Student Office Worker,100,5,Strikeable,0,4301,4301,4301,4301,1500,0,51612
Supply Specialist 1,758,5,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Supply Specialist 2,759,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Tax Auditor 1,5631,5,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Tax Auditor 2,5633,5,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Tax Auditor/Entry,5630,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Teaching Assistant,3303,5,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Traffic Survey Interviewer,1105,5,Strikeable,0,,,,,1500,0,
Training & Development Specialist 1,1338,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Training & Development Specialist 2,1339,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Transportation Maintenance Coordinator 1,4161,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Transportation Maintenance Coordinator 2,4163,5,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Transportation Maintenance Specialist 1,4151,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Transportation Maintenance Specialist 2,4153,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Transportation Maintenance Specialist Entry,4150,5,Strikeable,3335,3865,4301,530,966,9726,40020,51612
Transportation Services Office Leader,333,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Transportation Services Representative 1,331,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Transportation Services Representative 2,333,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Transportation Telecommunications Specialist 1,4166,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Transportation Telecommunications Specialist 2,4167,5,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Transporter,4403,5,Strikeable,3005,3427,3784,422,779,8912,36060,45408
Transporting Mental Health Aide,6101,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Truck Driver 1,4401,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Truck Driver 2,4403,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Veterans Service Officer,799,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Veterans Trust Officer,784,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Video Producer,3176,5,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Vocational Rehabilitation Counselor,6647,5,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Vocational Rehabilitation Counselor Entry,6646,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Vocational Rehabilitation Specialist,6648,5,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Water Resource Data Technician 1,8510,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Water Resource Data Technician 2,8511,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Wildland Fire Dispatcher,8364,5,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Wildland Fire Dispatcher Entry,8363,5,Strikeable,3005,3427,3784,422,779,8912,36060,45408
Wildland Fire Suppression Specialist,8355,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Wildland Fire Suppression Specialist Entry,8354,5,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Word Processing Technician 2,531,5,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Word Processing Technician 3,533,5,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Youth Corrections Unit Coordinator,6755,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Accountant 1,1316,6,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Accountant 2,1317,6,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Accountant 3,1318,6,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Accounting Technician,313,6,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Activities Coordinator,6530,6,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Administrative Law Judge 1,1510,6,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Administrative Law Judge 2,1511,6,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
Administrative Law Judge 3,1513,6,Strikeable,10242,11438,12785,1196,2543,26761,122904,153420
Administrative Specialist 1,107,6,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Administrative Specialist 2,108,6,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Adult Protective Service Specialist,6616,6,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Aerial Photographer,3540,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Aircraft Pilot,8333,6,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Appraiser Analyst 1,735,6,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Appraiser Analyst 2,736,6,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Appraiser Analyst 3,737,6,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Appraiser Analyst 4,738,6,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Apprenticeship Representative,4380,6,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Automotive Fleet Attendant,4417,6,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Automotive Technician 1,4418,6,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Automotive Technician 2,4419,6,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Behavioral Health Specialist 1,6531,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Behavioral Health Specialist 2,6534,6,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Behavioral Health Specialist 3,6535,6,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Biological Science Assistant,3769,6,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Business & Employment Specialist 2,6699,6,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Carpenter,4003,6,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Certified Occupation Therapist Assistant,6506,6,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Chaplain,6680,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Chemist 1,3715,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Chemist 2,3716,6,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Chemist 3,3717,6,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Child Nutrition Specialist,5950,6,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Child Support Case Manager,5139,6,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Child Support Case Manager Entry,5138,6,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Child Support Specialist,5133,6,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Civil Engineering Specialist 1,3136,6,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Civil Rights Investigator 1,5340,6,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Civil Rights Investigator 2,5341,6,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Claims Representative 1,5307,6,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Claims Representative 2,5308,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Client Care Surveyor,6685,6,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Clinical Laboratory Scientist,6833,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Clinical Psychologist 1,6394,6,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
Clinical Psychologist 2,6395,6,Strikeable,9293,10385,11622,1092,2329,24420,111516,139464
Communicable Disease Analyst,5903,6,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Community Outreach Specialist,6614,6,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Compliance Specialist 1,5346,6,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Compliance Specialist 2,5347,6,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Compliance Specialist 3,5348,6,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Construction Inspector,3365,6,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Construction Project Manager 1,3367,6,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Construction Project Manager 2,3368,6,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Construction Project Manager 3,3369,6,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
Cook,9117,6,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Custodial Services Coordinator,4103,6,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Custodian,4101,6,Strikeable,3005,3427,3784,422,779,8912,36060,45408
Data Entry Control Technician,1475,6,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Data Entry Operator,501,6,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Dental Assistant 2,6394,6,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Dental Hygienist,6396,6,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Dietitian 2,6371,6,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Disability Analyst 1,5936,6,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Disability Analyst 2,5937,6,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
District Veterinarian,6440,6,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
DOJ Claims Examiner,5933,6,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Dormitory Counselor 1,6767,6,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Dormitory Counselor 2,6768,6,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Economist 1,1161,6,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Economist 2,1163,6,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Economist 3,1163,6,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Economist 4,1164,6,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
Education Program Specialist 1,3300,6,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Education Program Specialist 2,3301,6,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
