Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Natural Resource Specialist 4 pay Option C Toxicologist ,,3,Strikeable,6664,7436,8314,772,1650,79968,99768
Natural Resource Specialist 4 Pay Option D Registered Sanitarian,,3,Strikeable,6664,7436,8314,772,1650,79968,99768
Natural Resource Specialist 5 Pay Option A,,3,Strikeable,6982,7803,8713,821,1731,83784,104556
Natural Resource Specialist 5 Pay Option B Hydrogeologist,,3,Strikeable,7327,8177,9143,850,1816,87924,109716
Nutrition Consultant,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Occupational Safety Specialist 1,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Occupational Safety Specialist 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Occupational Safety Specialist 3,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Occupational Therapist,,3,Strikeable,6982,7803,8713,821,1731,83784,104556
Office Assistant 1,,3,Strikeable,0,,,,,0,
Office Assistant 2,,3,Strikeable,0,,,,,0,
Office Coordinator,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Office Specialist 1,,3,Strikeable,3005,3427,3784,422,779,36060,45408
Office Specialist 2,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Operations & Policy Analyst 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Operations & Policy Analyst 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Operations & Policy Analyst 3,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Operations & Policy Analyst 4,,3,Strikeable,6982,7803,8713,821,1731,83784,104556
Painter,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Paralegal,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Park Ranger 1,,3,Strikeable,3629,4036,4498,407,869,43548,53976
Park Ranger 2,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Park Ranger 3,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Park Ranger Assistant,,3,Strikeable,0,,,,,0,
Park Specialist,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Parking Services Representative,,3,Strikeable,3095,3427,3784,332,689,37140,45408
Parts Specialist 2,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Payroll Analyst,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Pharmacist,,3,Strikeable,9751,10908,12187,1157,2436,117012,146244
Pharmacist 2,,3,Strikeable,10740,11999,13419,1259,2679,128880,161028
Pharmacist Resident,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Pharmacy Clerk & Technician 2,,3,Strikeable,3335,3709,4118,374,783,40020,49416
Pharmacy Clerk & Technician 3,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Physical Therapist,,3,Strikeable,6664,7436,8314,772,1650,79968,99768
Physical/Electronic Security Technician,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Physical/Electronic Security Technician 3,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Physician's Assistant,,3,Strikeable,7327,8177,9143,850,1816,87924,109716
Planner 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Plumber,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Preadmissions Screening Specialist,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Print Services Technician,,3,Strikeable,3335,3709,4118,374,783,40020,49416
Printing Production Coordinator,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Procurement & Contract Specialist 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Procurement & Contract Specialist 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Procurement & Contract Specialist 3,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Procurement And Contract Assistant,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Program Analyst 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Program Analyst 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Program Analyst 3,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Program Analyst 4,,3,Strikeable,6664,7436,8314,772,1650,79968,99768
Project Manager 1,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Project Manager 2,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Project Manager 3,,3,Strikeable,6982,7803,8713,821,1731,83784,104556
Psychiatric Social Worker,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Public Affairs Specialist 1,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
Public Affairs Specialist 2,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Public Affairs Specialist 3,,3,Strikeable,6664,7436,8314,772,1650,79968,99768
Public Health Educator 1,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Public Health Educator 2,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Public Health Nurse 2,,3,Strikeable,7410,8269,9226,859,1816,88920,110712
Public Health Toxicologist 1,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Public Service Representative 2,,3,Strikeable,3005,3427,3784,422,779,36060,45408
Public Service Representative 3,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Public Service Representative 4,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Radiologic Technologist,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
Rehabilitation Instructor For The Blind,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Rehabilitation Instructor For The Blind (Entry),,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Rehabilitation Therapist,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Research Analyst 1,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Research Analyst 2,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Research Analyst 3,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Research Analyst 4,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Retirement Counselor 1,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Retirement Counselor 2,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Revenue Agent 1,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Revenue Agent 2,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Revenue Agent 3,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Safety Specialist 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Safety Specialist 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Scientific Instrument Technician,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Seamster,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Securities Examiner,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Shipping Point Inspector 1,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Shipping Point Inspector 2,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Sign Technician 1,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Social Service Assistant,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Social Service Specialist 1,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
Social Services Specialist 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
State Library Specialist 1,,3,Strikeable,0,,,,,0,
State Library Specialist 2,,3,Strikeable,3629,4036,4498,407,869,43548,53976
State Procurement Analyst,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Student Office Worker,,3,Strikeable,0,4036,4301,4036,4301,0,51612
Supply Specialist 1,,3,Strikeable,3095,3427,3784,332,689,37140,45408
Supply Specialist 2,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Tax Auditor 1,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
Tax Auditor 2,,3,Strikeable,5771,6444,7206,673,1435,69252,86472
Tax Auditor/Entry,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Teaching Assistant,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Traffic Survey Interviewer,,3,Strikeable,0,,,,,0,
Training & Development Specialist 1,,3,Strikeable,4776,5086,5695,310,919,57312,68340
Training & Development Specialist 2,,3,Strikeable,5771,6146,6866,375,1095,69252,82392
Transportation Maintenance Coordinator 2,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Transportation Maintenance Specialist 1,,3,Strikeable,3629,3865,4301,236,672,43548,51612
Transportation Maintenance Specialist 2,,3,Strikeable,3964,4222,4715,258,751,47568,56580
Transportation Maintenance Specialist Entry,,3,Strikeable,0,,,,,0,
Transportation Services Office Leader,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Transportation Services Representative 1,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Transportation Services Representative 2,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Transportation Telecommunications Specialist 1,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Transportation Telecommunications Specialist 2,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Transporter,,3,Strikeable,0,,,,,0,
Transporting Mental Health Aide,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Truck Driver 1,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Truck Driver 2,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Veterans Service Officer,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Veterans Trust Officer,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Video Producer,,3,Strikeable,5771,6444,7206,673,1435,69252,86472
Vocational Rehabilitation Counselor,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
Vocational Rehabilitation Counselor Entry,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Vocational Rehabilitation Specialist,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Water Resource Data Technician 1,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Water Resource Data Technician 2,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Wildland Fire Dispatcher,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Wildland Fire Dispatcher Entry,,3,Strikeable,0,4036,4301,4036,4301,0,51612
Wildland Fire Suppression Specialist,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Wildland Fire Suppression Specialist Entry,,3,Strikeable,3005,3296,3652,291,647,36060,43824
Word Processing Technician 2,,3,Strikeable,3095,3427,3784,332,689,37140,45408
Word Processing Technician 3,,3,Strikeable,3335,3709,4118,374,783,40020,49416
Youth Corrections Unit Coordinator,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Accountant 1,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Accounting Technician,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Activities Coordinator,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Administrative Specialist 1,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Administrative Specialist 2,,3,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Apprenticeship Representative,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Automotive Fleet Attendant,,3,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Automotive Technician 1,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Automotive Technician 2,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Behavioral Health Specialist 3,,3,Non-Strikeable,6505,7259.04,7381.597538,754,877,78060,88579
Biological Science Assistant,,3,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Business & Employment Specialist 2,,3,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Certified Occupation Therapist Assistant,,3,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Chemist 3,,3,Non-Strikeable,6505,7259.04,7381.597538,754,877,78060,88579
Child Support Case Manager,,3,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Child Support Case Manager Entry,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Child Support Specialist,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Civil Rights Investigator 1,,3,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Compliance Specialist 1,,3,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Compliance Specialist 3,,3,Non-Strikeable,6505,7259.04,7381.597538,754,877,78060,88579
Cook,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Custodial Services Coordinator,,3,Non-Strikeable,3236,3550.71,3672.07527,315,436,38832,44065
Data Entry Control Technician,,3,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Data Entry Operator,,3,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Dental Assistant 2,,3,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Dental Hygienist,,3,Non-Strikeable,6505,7259.04,7381.597538,754,877,78060,88579
Disability Analyst 1,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
District Veterinarian,,3,Non-Strikeable,6505,7259.04,7381.597538,754,877,78060,88579
DOJ Claims Examiner,,3,Non-Strikeable,4766,5318.61,5935.916483,553,1170,57192,71231
Dormitory Counselor 1,,3,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Dormitory Counselor 2,,3,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Economist 1,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Electronic Publishing Design Specialist 1,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Employment Adjudicator,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Employment Appeals Board Legal Staff,,3,Non-Strikeable,6505,7259.04,7381.597538,754,877,78060,88579
Engineering Technician 2,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Engineering Technician 3,,3,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Equipment Operator,,3,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Executive Support Specialist 1,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Executive Support Specialist 2,,3,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Facility Energy Technician 4,,3,Non-Strikeable,6505,7259.04,7381.597538,754,877,78060,88579
Fiscal Analyst 1,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Fiscal Auditor 1,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Fish and Wildlife Technical Coordinator,,3,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Fish and Wildlife Technician,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Fish and Wildlife Technician Entry,,3,Non-Strikeable,3236,3550.71,3672.07527,315,436,38832,44065
Fish and Wildlife Technician Senior,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Food Service Worker,,3,Non-Strikeable,3236,3550.71,3672.07527,315,436,38832,44065
Forest Crew Coordinator,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Forest Lookout,,3,Non-Strikeable,3009,3446.34,3414.485318,437,405,36108,40974
Forest Management Technician,,3,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Forest Officer,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Governmental Auditor 3,,3,Non-Strikeable,6505,7259.04,7381.597538,754,877,78060,88579
Grounds Maintenance Worker 1,,3,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Grounds Maintenance Worker 2,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Group Life Coordinator 1,,3,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Group Life Coordinator 2,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Human Services Assistant 2,,3,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Human Services Case Manager,,3,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Human Services Specialist 1,,3,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Human Services Specialist 2,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Human Services Specialist 3,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Incident Response Operations Specialist,,3,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Industrial Hygienist 3,,3,Non-Strikeable,6505,7259.04,7381.597538,754,877,78060,88579
Investigator 1,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Investigator 2,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Laboratory Technician 2,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Laborer/Student Worker,,3,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Licensed Practical Nurse,,3,Non-Strikeable,4535,5055.555,5146.125263,521,611,54420,61754
Livestock Brand Inspector,,3,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Loan Specialist 1,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Mail Delivery Driver,,3,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Mail Equipment Operator 1,,3,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Mail Equipment Operator 2,,3,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Mail Services Assistant,,3,Non-Strikeable,3236,3550.71,3672.07527,315,436,38832,44065
Manual Arts Instructor,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Medical Laboratory Technician 2,,3,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Mental Health Security Technician,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Mental Health Therapist 1,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Mental Health Therapist 2,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Mental Health Therapy Coordinator,,3,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Mental Health Therapy Technician,,3,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Microbiologist 1,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Motor Carrier Enforcement Officer 1,,3,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Nutrition Consultant,,3,Non-Strikeable,6505,7259.04,7381.597538,754,877,78060,88579
Occupational Safety Specialist 3,,3,Non-Strikeable,6505,7259.04,7381.597538,754,877,78060,88579
Office Coordinator,,3,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Office Specialist 1,,3,Non-Strikeable,3236,3550.71,3672.07527,315,436,38832,44065
Office Specialist 2,,3,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Operations & Policy Analyst 1,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Park Ranger 2,,3,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Park Ranger Assistant,,3,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Park Specialist,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Parking Services Representative,,3,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Parts Specialist 2,,3,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Payroll Analyst,,3,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Pharmacist Resident,,3,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Pharmacy Clerk & Technician 2,,3,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Pharmacy Clerk & Technician 3,,3,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Physical/Electronic Security Technician,,3,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
